dataset,model,bin,lower_edge,upper_edge,n,mean_confidence,accuracy,accuracy_wilson_low,accuracy_wilson_high
TNBC_Breast_Cancer,Matched HVGs plus Logistic Regression,10,0.9,1.0,83171,0.9975465022715388,0.9964891608854047,0.9960636066571272,0.9968688540664469
TNBC_Breast_Cancer,Matched HVGs plus Random Forest,1,0.0,0.1,0,,,,
TNBC_Breast_Cancer,Matched HVGs plus Random Forest,2,0.1,0.2,0,,,,
TNBC_Breast_Cancer,Matched HVGs plus Random Forest,3,0.2,0.3,1,0.27000001072883606,1.0,0.20654931437723745,1.0
TNBC_Breast_Cancer,Matched HVGs plus Random Forest,4,0.3,0.4,29,0.3720689662571611,0.5862068965517241,0.4073783598787858,0.744868226586776
TNBC_Breast_Cancer,Matched HVGs plus Random Forest,5,0.4,0.5,277,0.4611191356870672,0.5487364620938628,0.4898671433113119,0.606272508267832
TNBC_Breast_Cancer,Matched HVGs plus Random Forest,6,0.5,0.6,1040,0.5488685432534951,0.6596153846153846,0.6302770558091502,0.6877789068032998
TNBC_Breast_Cancer,Matched HVGs plus Random Forest,7,0.6,0.7,1537,0.6531824964009559,0.8314899154196487,0.8119551640948697,0.8493717973304198
TNBC_Breast_Cancer,Matched HVGs plus Random Forest,8,0.7,0.8,2281,0.7535000771401693,0.925032880315651,0.913496891045638,0.9351396708105189
TNBC_Breast_Cancer,Matched HVGs plus Random Forest,9,0.8,0.9,6287,0.860351813129615,0.9767774773341816,0.9727532245150524,0.9802194484163437
TNBC_Breast_Cancer,Matched HVGs plus Random Forest,10,0.9,1.0,74109,0.9823315845571874,0.9987315980515187,0.9984482025866441,0.9989632924384482
TNBC_Breast_Cancer,Matched HVGs plus XGBoost,1,0.0,0.1,0,,,,
TNBC_Breast_Cancer,Matched HVGs plus XGBoost,2,0.1,0.2,0,,,,
TNBC_Breast_Cancer,Matched HVGs plus XGBoost,3,0.2,0.3,0,,,,
TNBC_Breast_Cancer,Matched HVGs plus XGBoost,4,0.3,0.4,1,0.3927699625492096,0.0,0.0,0.7934506856227626
TNBC_Breast_Cancer,Matched HVGs plus XGBoost,5,0.4,0.5,46,0.4719899562389954,0.4782608695652174,0.34124689434045685,0.6186258692719597
TNBC_Breast_Cancer,Matched HVGs plus XGBoost,6,0.5,0.6,382,0.5537053493305026,0.5706806282722513,0.5205828900159263,0.6193709660705825
TNBC_Breast_Cancer,Matched HVGs plus XGBoost,7,0.6,0.7,410,0.6510143266945351,0.6707317073170732,0.6238418785343652,0.7144519221857267
TNBC_Breast_Cancer,Matched HVGs plus XGBoost,8,0.7,0.8,582,0.7542108078183177,0.781786941580756,0.7464423392637226,0.8134360972338718
TNBC_Breast_Cancer,Matched HVGs plus XGBoost,9,0.8,0.9,1085,0.8587273813063099,0.864516129032258,0.8428614004985315,0.8835988142481761
TNBC_Breast_Cancer,Matched HVGs plus XGBoost,10,0.9,1.0,83055,0.9959641774265794,0.9973270724218891,0.9969521888657439,0.9976559533746853
Indonesia_PBMC,scGPT embeddings plus Logistic Regression,1,0.0,0.1,0,,,,
Indonesia_PBMC,scGPT embeddings plus Logistic Regression,2,0.1,0.2,0,,,,
Indonesia_PBMC,scGPT embeddings plus Logistic Regression,3,0.2,0.3,8,0.2822323963046074,0.125,0.02241749145005667,0.4708881822128535
Indonesia_PBMC,scGPT embeddings plus Logistic Regression,4,0.3,0.4,150,0.3663079130649567,0.44666666666666666,0.36942801041509465,0.5265688156508335
Indonesia_PBMC,scGPT embeddings plus Logistic Regression,5,0.4,0.5,1008,0.4666853995018062,0.48908730158730157,0.4583281590355218,0.5199293043168484
Indonesia_PBMC,scGPT embeddings plus Logistic Regression,6,0.5,0.6,4084,0.5497907048545552,0.5707639569049952,0.5555241036504545,0.5858708124250697
Indonesia_PBMC,scGPT embeddings plus Logistic Regression,7,0.6,0.7,4579,0.6507298432991843,0.6931644463856738,0.6796493852578651,0.7063556764261187
