model,n_cells,n_donors,macro_f1,accuracy,balanced_accuracy,ece_equal_width_10,ece_adaptive_10,ece_classwise_10,multiclass_brier,negative_log_likelihood
scGPT embeddings plus Logistic Regression,462034,199,0.9277484091948361,0.9242285199790492,0.9136503740846464,0.02173660789633164,0.021736607896331767,0.0035726158118723787,0.11388508060128977,0.20957611561043119
scGPT embeddings plus Random Forest,462034,199,0.9119262440078616,0.9047494340243358,0.8910074648653237,0.07226138098881299,0.07230466784409009,0.011584273984226361,0.15439581734315588,0.29504010642866657
scGPT embeddings plus XGBoost,462034,199,0.9340912501677651,0.9244492829532026,0.9268647750329078,0.00318980832694216,0.004329280051485231,0.0011942808288049485,0.11208536798947749,0.20074106583898746
Matched HVGs plus Logistic Regression,462034,199,0.9564492427968889,0.9522913898111395,0.9555938185156427,0.008746492514288728,0.008693557638684407,0.0013640825625457972,0.07155218328749016,0.1330899158004854
Matched HVGs plus Random Forest,462034,199,0.9247122741444412,0.9442616777120298,0.8963141866767218,0.10567447388148357,0.10567447388148342,0.016372639531113058,0.11025765214725693,0.23090086579542785
Matched HVGs plus XGBoost,462034,199,0.955078466454172,0.9515966357454213,0.9502637175755985,0.004164817287629191,0.004025975792993486,0.0009538729406599882,0.07080925696215223,0.12529504768371658
