model,macro_f1_point,macro_f1_cell_boot_low,macro_f1_cell_boot_high,macro_f1_donor_boot_low,macro_f1_donor_boot_high,ece_point,ece_donor_boot_low,ece_donor_boot_high,brier_point,brier_donor_boot_low,brier_donor_boot_high,nll_point,nll_donor_boot_low,nll_donor_boot_high,n_bootstrap
scGPT embeddings plus Logistic Regression,0.9277484091948361,0.926362065731815,0.9291252890419383,0.9241614519467212,0.9310929844838652,0.02173660789633164,0.020116175985940003,0.023384996224800052,0.11388508060128977,0.10852881869522492,0.11941927676585827,0.20957611561043119,0.2007213378622754,0.21883626825317143,5000
scGPT embeddings plus Random Forest,0.9119262440078616,0.9104865085638721,0.9133271517700599,0.9073237694929626,0.9162175136498191,0.07226138098881299,0.06958532412723224,0.0748926937002149,0.15439581734315588,0.14781605410552726,0.1610443492503628,0.29504010642866657,0.28375054662648574,0.3067993870938769,5000
scGPT embeddings plus XGBoost,0.9340912501677651,0.9328701712719367,0.9353284076425402,0.9307048864123048,0.9372557885074081,0.00318980832694216,0.002715025267554301,0.004786058715721964,0.11208536798947749,0.10645995663181884,0.11782219331351011,0.20074106583898746,0.19135687772859158,0.21041574874122743,5000
Matched HVGs plus Logistic Regression,0.9564492427968889,0.9553670779896807,0.9575008048906325,0.954264007234033,0.9584937222997103,0.008746492514288728,0.007701410793464505,0.009861822481275853,0.07155218328749016,0.06787586589368977,0.0752915759001067,0.1330899158004854,0.12648650614628068,0.1397892497975932,5000
Matched HVGs plus Random Forest,0.9247122741444412,0.9228854965663607,0.9265177334225331,0.9208544893996394,0.9284103804749189,0.10567447388148357,0.10269637709102708,0.10889136423372656,0.11025765214725693,0.10547245062438441,0.11509494849753593,0.23090086579542785,0.2223252832228956,0.239543909818716,5000
Matched HVGs plus XGBoost,0.955078466454172,0.9539677677985442,0.9562049758853076,0.95260352905892,0.9575295560243453,0.004164817287629191,0.003575650866579522,0.0047427987327459484,0.07080925696215223,0.06707976427222118,0.07455766041049751,0.12529504768371658,0.11914267859642269,0.13152591599621816,5000
