model,macro_f1_mean,macro_f1_sd,ece_mean,ece_sd,brier_mean,brier_sd,nll_mean,nll_sd,n_matched_hvgs_mean
Matched HVGs plus Logistic Regression,0.9564273563497553,0.0026133806079978966,0.00877271814181798,0.0010627885726618772,0.07152559630005738,0.003171871958376981,0.13304936432380396,0.0056970645288096375,1136.0
Matched HVGs plus Random Forest,0.9246008062708148,0.0034970050072874086,0.10567112460737346,0.0027511939773292122,0.1102348040955956,0.004373402695219014,0.23086384866261772,0.008088390701532428,1136.0
Matched HVGs plus XGBoost,0.9550421863432368,0.0029236741616463216,0.0042011016737175805,0.0011151737828838223,0.07078878288192954,0.0032741679299461064,0.1252596843687392,0.005598990786859599,1136.0
scGPT embeddings plus Logistic Regression,0.9277443223820562,0.003037608497051073,0.02173811386285178,0.0007971318881409066,0.11385643933891934,0.004506608425843412,0.20952840545710433,0.007951463762782024,1136.0
scGPT embeddings plus Random Forest,0.9118523846951654,0.004886275014673651,0.07223931334738827,0.0034070134572408662,0.1543374200726677,0.007549847650863922,0.29492837709668057,0.014627314147900182,1136.0
scGPT embeddings plus XGBoost,0.9340520243831405,0.004697979748341149,0.00410234774974008,0.0010734734550470824,0.11204291775960629,0.005934055962503228,0.20067086320774305,0.010652920074633258,1136.0
