fold,labels_per_class,representation,classifier,model,macro_f1,macro_f1_seed_sd,ece_equal_width_10,multiclass_brier,negative_log_likelihood
0,10,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.8359073118842979,0.014467613930673624,0.05414313056430949,0.27806029125660203,0.5367570308095339
0,10,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.6105802496981207,0.03010123499378544,0.09581674866300365,0.5192435541623667,1.1405710315745967
0,10,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.6763665080223538,0.017803082030891378,0.5485102480060456,0.8341798637016048,2.104210973742878
0,10,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.5781408021646343,0.03508257193505604,0.08077712881043726,0.5171400647963053,1.1802679851235687
0,25,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.8939370365853808,0.01080636340852549,0.01466603764601138,0.17572934871390195,0.3356466300113884
0,25,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.7951018065423134,0.019834702028141776,0.0428981158725534,0.2590096386799804,0.5480578445316577
0,25,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.7326991140978134,0.014677033681948448,0.5433373271886058,0.7250462640526345,1.7062260632147634
0,25,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.718430145923895,0.02590545904382635,0.0479370987466339,0.33434120275389895,0.722950524704298
0,50,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.9075790784608481,0.004469535449409488,0.014378790107560342,0.15279874815882902,0.29120260878420645
0,50,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.8390908702659308,0.005938852221516027,0.01876676512329534,0.19611377258655502,0.3974871487418737
0,50,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.7814524326296268,0.006497853039954376,0.4962063187104483,0.6111845170594423,1.3718613747379045
0,50,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.7742869367087523,0.013674091464384714,0.056691446047156056,0.28722862443423225,0.5973834609316359
0,100,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.9130898020878739,0.004003082336266951,0.029887826034732178,0.1456146537837315,0.28652829520655476
0,100,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.8693143829981095,0.009133128529186357,0.019035690624355662,0.15935718509505914,0.3149161125574664
0,100,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.8113262011830702,0.0037097766170437574,0.4300536115135672,0.49750958448713256,1.0834250975719257
0,100,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.8123950035015263,0.008629473029190796,0.05792897135769963,0.25050489284922234,0.5108375777956271
0,250,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.9130295573705481,0.0017986717079723391,0.0442913087243342,0.14024559594740552,0.3092120191694109
0,250,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.8955016063444166,0.008576278596147461,0.0276986922585555,0.13521443560325624,0.2645323711899707
0,250,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.8427137346305245,0.0008623517590808089,0.32173144513085117,0.3651379895972175,0.7797968767212667
0,250,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.8468733813768823,0.004198088125919088,0.054280890177810584,0.21216819717885635,0.4299019673379452
0,500,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.913396219971012,0.0018449100304079307,0.04926425572462798,0.135429735555821,0.3243813117433473
0,500,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.9103642555485862,0.0023448154380061883,0.02877869390035734,0.12025571163428148,0.23490237891024957
0,500,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.8599940034392322,0.0012700928952089701,0.24577344475863022,0.2892712679793234,0.614701803417238
0,500,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.8639235714442384,0.0027446009197911922,0.05352787252934314,0.19070199545476058,0.3846093521224808
1,10,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.848335663382862,0.015243181984004995,0.0638531166755824,0.27272216359907336,0.5325611455518644
1,10,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.6141996336178605,0.027899143616611687,0.1074636609245974,0.4868437056349479,1.10684535449752
1,10,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.6715397324695555,0.016412944385616305,0.5030561053885592,0.8346692125121707,2.1073090497406666
1,10,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.6288404698980115,0.028357244261900772,0.08216881608938308,0.4863370878585608,1.1124455527291415
1,25,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.890747072245035,0.005607354284126252,0.01465606255210486,0.18703795953233956,0.35419509261525245
1,25,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.777032452485457,0.03603254736281986,0.0304660683763892,0.27563268632746835,0.5711914961401171
1,25,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.7362772981814666,0.012318872525821605,0.5120419323907272,0.7246825580497287,1.7020623620671471
1,25,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.7243691527428099,0.020915881860661043,0.053388855622415965,0.355389051003875,0.7667861280280291
1,50,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.8959887409116352,0.005590259569349395,0.021684996437214478,0.17766138517938468,0.335707810325107
1,50,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.8272251559892625,0.008709684459369519,0.022663492477965598,0.22105445363923631,0.4444864780117723
1,50,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.7879841740501448,0.009757952514601535,0.4880102525964748,0.6140249910686336,1.3767074941095077
1,50,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.775290105493083,0.004751090777887764,0.05982095786320588,0.29325785716212865,0.6165518003758608
1,100,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.9096955220040581,0.002761192860906094,0.03036084851755292,0.1485961315007991,0.2911338545029826
1,100,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.8653001830181777,0.0071603656945751284,0.02155668003069672,0.165040395648059,0.32626165006193514
1,100,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.8176585578636434,0.005179101634051544,0.42158463934316154,0.4981254598594734,1.08216724210255
1,100,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.8164814625937158,0.0024183138862121038,0.05526877752853245,0.24940600145520095,0.5184178294675871
1,250,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.9134439353660317,0.0023025816377080853,0.044369370086087365,0.14217846005306145,0.3072310756627711
1,250,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.8944999785875142,0.0035576037188787867,0.029405450565003138,0.1421931947829776,0.27823737948092375
1,250,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.8466485099750501,0.0019801207970111356,0.31653272093116325,0.36805720269670733,0.7836854332758451
1,250,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.8515793304254817,0.005177681740022258,0.0581032421214849,0.21755973285077967,0.44594172059251547
1,500,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.9119686413500354,0.004207596608770703,0.053598981156244375,0.14502965992825895,0.3514767009109051
1,500,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.9057957397054898,0.004595151210736308,0.031287101965071465,0.12874209437615095,0.2522682537031971
1,500,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.8589575067220553,0.0015243373832446927,0.23832934404226944,0.2949498191109071,0.6230322781171419
1,500,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.8658864896820683,0.0018894023188882059,0.0584039865803387,0.2001365741892503,0.4109490737464048
2,10,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.8684473451857636,0.008421162483470737,0.06971664641874138,0.24780147739709218,0.4875861588369467
2,10,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.6406063426939058,0.016136795885482842,0.07841495151191571,0.44821201047256415,1.0086917674875184
2,10,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.6680000454543062,0.014213383748539069,0.5356102736291241,0.8350837065814648,2.109074444824162
2,10,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.5884771645691705,0.021414996093852754,0.07076061315116888,0.5174627585579242,1.2015970869431731
2,25,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.8935555592241637,0.004727004198412314,0.015883976540245502,0.1888074185025736,0.3597997993393264
2,25,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.7689281496288093,0.027860447703937457,0.033945103263011936,0.28303438004395176,0.5939486474581182
2,25,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.7245290370034968,0.0036463201479583194,0.5201387478061443,0.7282445330868264,1.7135461976576671
2,25,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.7140986642228614,0.01832339018389311,0.049767057136117336,0.35569238817567655,0.7570939477019893
2,50,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.9059586184651639,0.002918425902688719,0.01524135093210598,0.15985960740113506,0.30380992651519656
2,50,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.8342049296769959,0.010384106164966727,0.0218684957221852,0.20645858101145703,0.4216269318960294
