fold,labels_per_class,scarcity_seed,total_training_labels,representation,classifier,model,fit_and_predict_seconds,macro_f1,accuracy,balanced_accuracy,ece_equal_width_10,ece_adaptive_10,ece_classwise_10,multiclass_brier,negative_log_likelihood
0,10,20260811,130,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.41322922706604,0.6745041935947756,0.6976897689768977,0.8085360521349952,0.5669675013647937,0.5669675013647937,0.1000164622678792,0.8303345008717853,2.086633026194779
0,10,20260811,130,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.418454647064209,0.5845836971234497,0.617800489726392,0.7129037757725698,0.0934428132042865,0.0950642670847207,0.0433767391527115,0.5250495826176476,1.1571615757891387
0,10,20260811,130,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.14957857131958,0.8233495442461677,0.8288193335462578,0.8703856984674074,0.0709901241991085,0.0709901241991085,0.0234289683816637,0.2575345684650837,0.5037427448539233
0,10,20260811,130,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.2838938236236572,0.6504029891817251,0.6638560630256574,0.7547817162001442,0.1004953366310138,0.1007816605080571,0.0406253972782789,0.4948523367010047,1.069088827687402
0,10,20260812,130,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.0726714134216308,0.6575958580454535,0.6675609496433514,0.836825731586708,0.5388434110276198,0.5388434110276199,0.0992994827757672,0.8341538427280918,2.106375959872815
0,10,20260812,130,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.842658519744873,0.5352137789793047,0.6030128819333547,0.731325806084899,0.0905854826433886,0.0901093038212829,0.0416276318968744,0.557895785973169,1.3167793765152676
0,10,20260812,130,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.1304147243499755,0.8559843887303275,0.8199616735867135,0.8894491927479251,0.0530736601775579,0.0530736601775579,0.0267408220781513,0.2627239456400426,0.5142290145773123
0,10,20260812,130,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.2860262393951416,0.6157995552608638,0.6583626104545939,0.7744593111072008,0.1295832129002518,0.129527286864002,0.0469266211787698,0.5154775152429617,1.1533118639818143
0,10,20260813,130,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.0692343711853027,0.6964849490196882,0.6627488555307144,0.8290266615748857,0.5332140403839785,0.5332140403839785,0.0976916094629331,0.8342749188757265,2.103250847162304
0,10,20260813,130,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.8795406818389893,0.6152808177098165,0.6832641328648994,0.7625126108217519,0.0574286297505974,0.0569682897971585,0.0359613745980999,0.4539662723073103,1.0271169146881691
0,10,20260813,130,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.1333587169647216,0.8256816840363441,0.7862450761205153,0.8795260901047981,0.0495530301718393,0.0495530301718393,0.0254120880063083,0.3041707981142477,0.5830427720247794
0,10,20260813,130,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.2938101291656494,0.6009110655369848,0.6064409666773128,0.7417118068973776,0.078647972807219,0.0799846510427332,0.046180062858362,0.546664949838952,1.1840040480068348
0,10,20260814,130,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.0601677894592285,0.6607003692052983,0.6675077185137869,0.8265036039966506,0.5394783840075931,0.5394783840075932,0.0990646342512693,0.8364169087469969,2.1129733837978835
0,10,20260814,130,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.8213493824005127,0.6066166026241261,0.6361758756520813,0.7564806480599858,0.0691409872475411,0.0690898695703396,0.0404294050965617,0.5107311117164196,1.1729304382159484
0,10,20260814,130,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.1481709480285644,0.8464320393220963,0.8138188012349622,0.8909895032702091,0.0592947999437279,0.0592947999437279,0.0251934800760595,0.2741884231875723,0.5299534913960404
0,10,20260814,130,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.3266971111297607,0.5674759820528356,0.616182263387629,0.7491415734653075,0.0766727280285129,0.0754049220743444,0.0411766656966375,0.5299121311122222,1.183006128866464
0,10,20260815,130,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.0694062709808349,0.6925471702465533,0.6915149579474077,0.8312637264330441,0.5640479032462433,0.5640479032462435,0.1027419904501327,0.8357191472854234,2.111821651686608
0,10,20260815,130,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.8554651737213135,0.5490091143864743,0.6211646971148728,0.7291603460771158,0.0932877312063727,0.0961180231941293,0.0416381964602855,0.5380575713669797,1.22735162040932
0,10,20260815,130,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.1359822750091552,0.8280889030865536,0.7954966464388374,0.8834012605400259,0.0378040383293139,0.0378040383293139,0.0245586639457688,0.2916837208760637,0.5528171311956135
0,10,20260815,130,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.3058555126190186,0.6183116564581947,0.654647077610987,0.7425732114698292,0.0936844929480208,0.094829824936635,0.0368176213189604,0.5093108379166927,1.1134442893304686
0,25,20260811,325,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.0777986049652099,0.755579422403155,0.7551687426807197,0.8549604983666481,0.5556525404741299,0.55565254047413,0.0943986651454462,0.7235879440162549,1.6968096907396824
0,25,20260811,325,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.0443623065948486,0.7478304350595567,0.7817097838816139,0.840271279546413,0.0587246014670132,0.0583949507745713,0.022256523073602,0.3276228599782878,0.7024617476048771
0,25,20260811,325,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.1707539558410644,0.899620924495263,0.8810816565527521,0.9173539688367636,0.0122223579572635,0.0129890222809192,0.0136043868737885,0.1754815294340728,0.3319153112984532
0,25,20260811,325,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.493396520614624,0.8172387905491706,0.8549025870328968,0.884223633771884,0.0590040553776232,0.0611026043331955,0.0190568550015183,0.234090764664892,0.5040823453241955
0,25,20260812,325,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.0785567760467529,0.7368623618469515,0.7476099222825509,0.8552317678318977,0.5480769656178651,0.548076965617865,0.0928050264884637,0.7238430338309971,1.7004403393920664
0,25,20260812,325,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.0711190700531006,0.7197306423742347,0.7647822846800809,0.853655347139149,0.0472991146607396,0.0470281843209564,0.0250699531454054,0.3399264483184714,0.7148268134534087
0,25,20260812,325,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.1572294235229492,0.8971860401973223,0.8829660385393377,0.9220388379561446,0.0157358669439287,0.0157182682664219,0.0131170884409535,0.1724176335353073,0.3283474762472264
0,25,20260812,325,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.487027883529663,0.8071980553089205,0.8474715213456829,0.8838983693416887,0.0476277600428567,0.0476277600428567,0.0195889921822437,0.2353104392955529,0.493565497787601
0,25,20260813,325,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.0798079967498779,0.7208685837403854,0.7399659320770787,0.8522784364935869,0.5394452373383336,0.5394452373383335,0.0949637976152966,0.723544291207934,1.7038609813400574
0,25,20260813,325,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.04510498046875,0.6766642578933689,0.7567763227935697,0.8461882415657852,0.0428369320790121,0.0423549104507919,0.026409769020849,0.3507719500790847,0.7740685216223556
0,25,20260813,325,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.1683161258697509,0.9070357258376512,0.8970403491962099,0.9293301494109903,0.0165309985456117,0.016782294903472,0.0103441209974867,0.1564128469608013,0.3021438470374858
0,25,20260813,325,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.4956021308898926,0.7893436298570706,0.825710635579687,0.8665501646327638,0.0384695939637328,0.0391709789466546,0.0186516774746924,0.2690475896243765,0.5661591482833496
0,25,20260814,325,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.0819575786590576,0.7307996410629038,0.7444479931864154,0.8539771873246923,0.545192098845176,0.5451920988451763,0.0936364077756917,0.7254101368760713,1.710536182533849
0,25,20260814,325,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.097184658050537,0.7264821506360293,0.7785797934632173,0.8589327460378716,0.0391574201265272,0.0394889886507902,0.0243797197970888,0.3230094784429058,0.694555856635678
0,25,20260814,325,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.1659400463104248,0.8806878162805064,0.8724795060151176,0.9172167222842283,0.0132858431302002,0.0132858431302003,0.0116583000756778,0.1877106394761152,0.3561180620826596
0,25,20260814,325,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.528214693069458,0.7650730576035879,0.7869583732566805,0.862261974081864,0.0331658520757614,0.0330373244201306,0.0265151135744735,0.3144225687025753,0.6674511646843776
0,25,20260815,325,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.0862307548522949,0.719385561435671,0.7265623336527202,0.8545706032490814,0.5283197936675244,0.5283197936675245,0.0959252644863453,0.7288459143319155,1.719483122068162
0,25,20260815,325,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.048715114593506,0.7214432436562853,0.7771106142872352,0.8319442675458593,0.0516674253998774,0.0505211092613983,0.0227836713664755,0.3303752769507451,0.7288396842051704
0,25,20260815,325,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.1697485446929931,0.8851546761161606,0.8745129351644841,0.918469240769794,0.0155551216530528,0.0155370338612268,0.014550014659532,0.1866240941632131,0.3597084533911172
0,25,20260815,325,Matched HVGs,xgboost,Matched HVGs plus XGBoost,1.5242619514465332,0.7966554993928177,0.839923347173427,0.8723240207856526,0.0362233179027929,0.0362212357470014,0.0188659490764848,0.2421768311125051,0.5090310665787651
0,50,20260811,650,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.0950396060943603,0.7837290009399542,0.7837219205791547,0.8661702426733883,0.4980026357886525,0.4980026357886526,0.080665903327487,0.6080496559063394,1.3644013226061535
0,50,20260811,650,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,1.2657063007354736,0.772760783607298,0.7927179814755669,0.8713228567627529,0.0615962598091007,0.0615252974411744,0.023317258776329,0.3054142811068582,0.6264394213764929
0,50,20260811,650,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.1797819137573242,0.909063149939431,0.8959012030235282,0.93262095547249,0.0126137966704957,0.0121499074296915,0.0091146757285116,0.1541027663803106,0.2886768894018972
